nrOfConversations,nrOfGhostingsAfterInitialMessage,OfOneMessageConversations,percentOfOneMessageConversations,numberOfGhostings
361,348,4,1.108033241,352
362,2,122,33.70165746,124
363,3,98,26.99724518,101
368,75,51,13.85869565,126
369,1,196,53.11653117,197
374,21,142,37.96791444,163
375,205,82,21.86666667,287
375,120,133,35.46666667,253
377,154,64,16.97612732,218
378,12,136,35.97883598,148
378,25,51,13.49206349,76
378,159,83,21.95767196,242
384,1,109,28.38541667,110
385,6,99,25.71428571,105
385,31,84,21.81818182,115
385,4,181,47.01298701,185
386,78,102,26.42487047,180
386,1,135,34.97409326,136
386,203,54,13.98963731,257
387,2,110,28.42377261,112
390,1,157,40.25641026,158
393,34,139,35.36895674,173
395,1,165,41.7721519,166
396,1,165,41.66666667,166
397,11,122,30.73047859,133
403,15,99,24.56575682,114
404,137,63,15.59405941,200
404,61,77,19.05940594,138
408,10,100,24.50980392,110
410,65,196,47.80487805,261
410,47,194,47.31707317,241
410,124,35,8.536585366,159
411,14,163,39.6593674,177
414,48,223,53.8647343,271
415,101,139,33.4939759,240
417,53,86,20.6235012,139
418,8,213,50.9569378,221
419,101,75,17.89976134,176
419,61,175,41.76610979,236
425,95,47,11.05882353,142
427,0,97,22.71662763,97
432,100,101,23.37962963,201
437,34,72,16.47597254,106
443,31,182,41.08352144,213
447,11,214,47.87472036,225
457,64,189,41.35667396,253
457,36,193,42.23194748,229
